unique_Investor
"""Kedaraa Capital"
Ashok Kumar Gajera
Ashutosh Lawania
Ashvin Chadha
Asia Pacific Internet Group
Asian Healthcare fund
AskMe
Aspada
Aspada Advisors
Aspada Investment
Aspada Investment Advisors
Aspada Investments
Aspada Ventures
Aspire Logistics LLC
Aspire Systems
Asset Management (Asia) Ltd
Astarc Ventures
Asuka
Asuka Holdings
Atul Agarwal
Atul Goel
Atul Gupta and Saurabh Rastogi
Atul Ingle
Atul Jain
Atul Jalan
Atul Nishar
Atul Phadnis
Atulya Mittal
Augment Ventures
August Capital Partners
Auxano Deals
Avalon Ventures
Avendus Finance Pvt. Ltd
Avendus Finance
Avnish Mehra
Avtar Monga
Axan Partners
Axan Venture
Axiata Digital
Axilor
Axilor Partners
Axilor Ventures
Axilor Ventures and Binny Bansal
Axis Bank
Axis Capital
Axis Capital Partners
Axon Partners
Ayesha Takia Azmi
Ayushmann Khurana
Azim Premji
Azmul Haque
B Capital
B M Gupta
B S Nagesh
BAC Acquisitions
BC Prabhakar
BCCL
BEENEXT
BEENEXT Ventures
BLIP Initiatives
BRD Securities
BS Nagesh
BVR Mohan Reddy
Badal Malick
Baillie Gifford
Balaji Prabhakar
Balamurali Krishna
Balamurugan Mani
Balasubramanian Krishnamurthy
Bamboo Capital Partners
Bank to the Future and Funders Club
Barkawi Holdings GmbH
Basab Pradhan
Base of Pyramid Asia
Baskar Subramanian
Batlivala & Karani Securities
Battery Road Digital Holdings LLC
Bay Capital Investments and Others
Bedrock Ventures
BeeNext
Beehive Capital Advisor
Beenext
Beenext Ventures
Beenextan investment fund
Beenos
Beenos Asia
Beerud Sheth and Ravi Mantha
Behram Vakil and Jerxis Vandrevala
Bennett
Benori Ventures LLP
Berggruen Holdings
Bertelsmann India
Bertelsmann India Investments
Bessemer Venture
Bessemer Venture Partners and Orios Venture Partners
Bessemer Venture Partners
Bessemer Ventures
Best Foodworks
BetOnIndia Technology Pvt Ltd
Bhairavi Jani
Bhanu Vikram Parsotam
Bharanidharan Viswanathan
Bharat Gupta
Bharat Innovation
Bharat Kedia
Bharat Sheth
Bharat Vijay
Bharti Enterprises
Bhavdeep Reddy
Bhavesh Manglani
Bhavin Turakhia
Bhavish Aggarwal
Bhupen Shah
Bhupender Singh
Big Data Investments B.V
Bijou Kurien
Bill & Melinda Gates Foundation
Binny Bansal
BitChemy Ventures
Bitkemy Ventures
Biz Stone
BizReach
BlackJag Partners
Blacksoil
Blackstone Valley Group
Blinc Advisors
Blue Cloud Ventures
Blue Fog Capital
Blue Orchard
BlueOrchard Finance Ltd
Blume Ventures
Blume ventures
Bobby Reddy
Bodhtree Consulting Limited
Boillot Family Trust
Bold Ventures
Boman Irani
BookMyShow
Boost VC
BrahmaX Ventures
Brand Capital
Brand Capital and Others
Bravia Capital
Breakthrough Energy Ventures
Bren Corporation
Brian Acton
Brick Eagle
Brigade Innovations LLP
Broadbean Capital services
Bunny Bansal &  investors
Burda Principal Investments
ByteDance
C31 Ventures
C4D Partners
CA Media LP
CASHurDRIVE Marketing Pvt Ltd
CBA Capital
CCavenue
CCube Angels
CDC Group
CDC Group Plc
CDC Group plc
CIO Angel Network
CLP Holdings Group
CLSA Capital Partners ARIA IV Funds
CMYK Health Boutique Pvt Ltd
CP Bothra
CRV
CSC Upshot & Angel investors
Calcutta Angel Network
Calcutta Angels
Calcutta Angels Network
Calcutta Angels Network (CAN)
Cameron Jones
Canaan Partners
Cao Yibin
Capier Investments
Capillary Technologies
Capital Advisers
CapitalG
Capricorn Investment Group
Capricorn Investment and IFC
CareerNet Consulting Pvt. Ltd
Carlyle Group
Carnegie Mellon University
Carpediem Capital
Carrick Capital Partners
Caspian and Hivos-Triodos Fund
Catamaran Ventures
Cataraman Ventures
Centre For Incubation & Business Acceleration (CIBA)
Centre for Innovation Incubation and Entrepreneurship
CerraCap
Chan Zuckerberg Initiative
Chanakya Hridaya
Chandigarh Angel Network
Chandigarh Angels
Chandigarh Angels Funding
Chandigarh Angels Network
Chandrakant Gogri
Chandralekha Construction Pvt. Ltd.
Chandrashekar Tallapragada
Chandru Badrinarayanan
Chatsworth Management
Chavi Jafa
Cheetah Mobile
Chennai Angels
Cherry Tin
Chetan Bhagat
Chicago Capital Ventures
Chidambaram Palaniappan
China Lodging Group
Chip Perry
Chirag Nikunj Sheth
Chiratae Ventures
ChrysCapital
Cipher-Plexus Capital Advisors
Cisco Investments
Cisco Ventures
Cismat Cargo Services Pvt. Ltd.
Citi Ventures
Citrus Payments
Clairvest Group
Claris Capital
CoCapital
CoCreate Ventures
Coatue Management
Cogent E Services
Coleman and Co. Ltd (BCCL)
Coleman and Company Ltd
Coleman and Company Ltd (BCCL)
Collaborative Licensing Ventures LLP
Commonfloor
Composite Capital Management
Concur Technologies
Constellation Technology Ventures (Exelon Corporation)
Contrarian Capital
Contrarian Capital India Partners
Contrarian Vriddhi Fund
Cooperative Oikocredit
Corvus Ventures
Costanoa
Cota Capital
Creation Investments
Creation Investments Capital Management
Credence Family Office
Cross Border Angels & Experts
Cross Border Angels   Experts
Cross Border Angels
Ctrip.com International Ltd
CureFit
Currae Healthtech Fund
Cyber Carrier CL
Cyber Carrier VC
Cyber Carrier
CyberAgent Ventures
DA-IICT
DAH Beteiligungs GmbH
DG Daiwa Ventures
DG Incubation
DG Ventures India
DHI Group Inc
DIG Investment Ab
DILA CAPITAL
DMG Information
DMG information Asia Pacific
DMI Finance
DSG Consumer Partners
DSG Consumer Partners and Venture Nursery
DSG consumer Partners
DST Global
DST Global and Lightspeed Venture Partners global fund.
DST Partners and RPS Ventures
DTDC Express Ltd
Daffodil Software
Dalip Pathak
Daljit Singh
Daman Soni
DanGold Investment Corp
Darius Pandole
Darrin Capital
Darshak Shah
Darshan Upadhyay
Das Capital
Das Capital and IT Farm
Daud Ali
DeNA Co.
DeVry Inc
Deep Kalra
Deepak Chokhani
Deepak Ghaisas
Deepak Gupta
Deepak Gurnani
Deepak Jain
Deepak Kulkarni
Deepak Nathani
Deepak Natraj
Deepak Shahdadpuri
Deepak Sharma
Deepak Singh
Deepinder Goyal
Delhivery
Delta Partners
Dena
Denlow Investment Trust and Beenext
Deobrat Singh
Deshe Holdings
Deshpande Foundation
