Date,Startup,Industry_Vertical,SubVertical,Location,Investor,Investment_Type,Amount(USD),Remarks
09-01-2020,Byju’s,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,"20,00,00,000",
13-01-2020,Shuttl,Transportation,App based shuttle service,Gurugram,Susquehanna Growth Equity,Series C,"80,48,394",
09-01-2020,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,"1,83,58,860",
02-01-2020,Wealthbucket.in,FinTech,Online Investment,Delhi,Vinod Khatumal,Pre-series A,"30,00,000",
02-01-2020,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,"18,00,000",
13-01-2020,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,"90,00,000",
10-01-2020,Zomato,Hospitality,Online Food Delivery Platform,Gurugram,Ant Financial,Private Equity Round,"15,00,00,000",
12-12-2019,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,"60,00,000",
06-12-2019,Cardekho,E-Commerce,Automobile,Gurugram,Ping An Global Voyager Fund,Series D,"7,00,00,000",
03-12-2019,Dhruva space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,"5,00,00,000",
13-12-2019,Rivigo,Technology,Logistics Services and Solutions,Gurugram,"SAIF Partners, Spring Canter Investment Ltd.",Series F,"2,00,00,000",
17-12-2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,"1,20,00,000",
16-12-2019,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,"3,00,00,000",
16-12-2019,Incred finance,Finance,Non-Banking Financial Company,Mumbai,Undisclosed,Debt Funding,"59,00,000",
14-12-2019,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,"20,00,000",
11-12-2019,Rein games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,"5,00,00,000",
20-12-2019,Lenskart,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,"23,10,00,000",
13-11-2019,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,"15,00,00,000",
14-11-2019,Misters,Health and wellness,Men's Health and Wellness brand,Gurugram,"Sauce.vc, Rainforest Ventures",Series B,"4,86,000",
13-11-2019,Sunstone eduversity pvt. ltd,Education,Elearning,Gurugram,"Prime Venture Partners, LetsVenture, PS1 Venture, Rajul Garg",Seed,"15,00,000",
17-11-2019,Burger singh,Food and Beverage,Indian Burger Brand,Gurugram,RB Investments,Venture,undisclosed,
18-11-2019,Healthians,Health and Wellness,Healthcare services,Gurugram,"DG Daiwa Ventures, DG Incubation",Series B,"1,20,00,000",
15-11-2019,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,"2,60,00,000",
20-11-2019,Aye finance,FinTech,Financial Services To MSMEs,Gurugram,FinTech,Debt Funding,"1,74,11,265",
12-11-2019,Supergaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,"13,00,000",
20-11-2019,Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,"13,50,00,000",
11-11-2019,Ebikego,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,"3,00,000",
19-11-2019,Digital mall asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,"22,00,00,000",
18-11-2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,"1,58,00,000",
15-11-2019,Vogo automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,"28,30,00,000",
19-11-2019,Furtados school of music,Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,,"20,00,00,000",
25-11-2019,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,"1,00,00,00,000",
04-10-2019,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,"4,50,00,000",
02-10-2019,Udaan,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,"58,50,00,000",
21-10-2019,The man company,Consumer Goods,Beauty and Grooming,Gurugram,Ayushmann Khurana,Corporate Round,unknown,
05-09-2019,Fpl technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,"45,00,000",
04-09-2019,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,"33,00,000",
04-09-2019,Digital f5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,"60,00,000",
04-09-2019,3rdflix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,"50,00,000",
04-09-2019,75f,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,"1,80,00,000",
04-09-2019,Myelin foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,"10,00,000",
04-09-2019,Atomberg technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,"1,00,00,000",
04-09-2019,Goqii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,"45,00,00,000",
03-09-2019,Vyapar app,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,"50,00,000",
01-08-2019,Cardekho,E-Commerce,Automotive,Gurugram,SC GG India Mobility Holdings LLC,Series C,"2,00,00,000",
01-08-2019,Progcap,Finance,Supply Chain Management,Delhi,Sequoia India,Series A,"50,00,000",
01-08-2019,Mypetrolpump,Retail,Fuel Delivery,Bengaluru,Undisclosed,Seed Funding Round,"16,00,000",
01-08-2019,Alteria capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,"14,00,00,000",
01-08-2019,Pine labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,"3,80,80,000",
12-08-2019,Meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,"12,50,00,000",
13-08-2019,Cars24,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,"1,10,00,000",
13-08-2019,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,"5,10,00,000",
23-08-2019,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,"3,70,00,000",
23-08-2019,Lo! foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,"5,00,000",
23-08-2019,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,"11,00,00,000",
22-08-2019,Indwealth,FinTech,Wealth Management,Gurugram,Tiger Global Management,Venture Round,"1,50,00,000",
21-08-2019,Hungerbox,Food and Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,"65,90,000",
23-08-2019,Admitkard,EdTech,University Admissions,Noida,Growth DNA,Seed Round,"10,00,000",
19-08-2019,Mishry reviews,Services,Product Review,Gurugram,Vir Sanghvi,Series A,Undisclosed,
19-08-2019,Grofers,E-Commerce,Grocery Delivery,Gurugram,Softbank Vision Fund,Series F,"7,00,00,000",
27-08-2019,Rapido bike taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,"3,90,00,00,000",
02-07-2019,Renewbuy,Finance,Auto Insurance,Gurugram,"Lok Capital, IIFL Wealth",Series B,"1,90,00,000",
02-07-2019,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,"25,00,000",
01-07-2019,Wizcounsel,Compliance,Consulting,Delhi,Kapil Dev,Angel,"1,45,000",
03-07-2019,Olacabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,"10,00,000",
01-07-2019,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,"3,80,80,000",
04-07-2019,Daalchini technologies,Food and Beverage,Digital Vending Machine,Delhi,Artha Venture,Seed Round,"5,00,000",
10-07-2019,Byju’s,EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,"15,00,00,000",
11-07-2019,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,"6,00,00,000",
10-07-2019,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,"1,60,00,000",
10-07-2019,Indus os,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,"57,50,000",
10-07-2019,Healthassure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,"25,00,000",
09-07-2019,House of msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,"10,00,000",
08-07-2019,Board infinity,EdTech,Full-stack career platform,Chembur,Undisclosed,Angel Round,"3,19,605",
05-06-2019,Nobroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,"5,10,00,000",
04-06-2019,Bira91,Food and Beverage,Brewery,Delhi,Anicut Capital,Debt Funding,"1,00,00,000",
03-06-2019,Fabhotels,E-Commerce,Hospitality,Gurugram,"Goldman Sachs, Accels and Qualcomm",,"48,89,975.54",
03-06-2019,Avail finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,"90,00,000",
04-06-2019,Bharatpe,Finance,FinTech,Delhi,Insight Partners,Series B,"7,50,00,000",
04-06-2019,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,"2,60,00,000",
03-06-2019,Agara labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,"25,00,000",
06-06-2019,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",,"27,39,034.68",
06-06-2019,Chakr innovation,Energy,Renewable Energy,Delhi,IAN Fund,Series A,"2,60,00,000",
06-06-2019,Pratilipi,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,"1,51,09,500.00",
10-06-2019,Bolo app,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,"4,30,200",
10-06-2019,Okcredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,"1,55,00,000",
06-06-2019,Biz2credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,"5,20,00,000",
08-06-2019,Vogo automotive,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,"35,84,000",
04-06-2019,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,"34,00,000",
06-05-2019,Ola electric,Transport,Cabs,Bengaluru,Tata Sons,Series A,undisclosed,
06-05-2019,Saahas zero waste,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,"8,68,600",
01-05-2019,Blackbuck,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,"15,00,00,000",
02-05-2019,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,"5,00,00,000",
28-05-2019,Ather energy,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,"5,10,00,000",
28-05-2019,Freshvnf,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,"14,00,00,000",
30-05-2019,Glowroad,E-commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,"1,15,00,000",
31-05-2019,Bira91,Food and Beverage,Brewery,Delhi,Sixth Sense Ventures,Series B,"56,00,000",
16-04-2019,Kuvera,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,"4,50,00,000",
12-04-2019,Medlife,E-commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,"1,70,00,000",
10-04-2019,Kabadiwala,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,"4,30,665",
13-04-2019,Tripoto,Social Media,Travel,Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,"35,91,375",
12-04-2019,Azah,Health and Wellness,Organic wellness,Gurugram,Undisclosed,Seed Funding,"2,00,000",
11-04-2019,Setu,Fintech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding,"35,00,000",
10-04-2019,Toppr,Edtech,E-learning,Mumbai,Milestone,Debt and Preference capital,"63,20,820",
10-04-2019,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,"24,43,495",
10-04-2019,Unacademy,Edtech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,"3,07,000",
11-04-2019,Clevertap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accels",Series B,"2,60,00,000",
19-04-2019,My healthcare,E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,"30,00,000",
19-04-2019,Krazybee,E-commerce,Lending Platform,Bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,"14,342,000+",
17-04-2019,Shuttl,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,"50,00,000",
17-04-2019,Increff,Technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,"30,00,000",
01-02-2019,Fleetx,AI,Logistics,Gurugram,India Quotient and LetsVentures Angel Fund,Pre Series A,Undisclosed,
08-02-2019,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,"22,60,00,000",
13-02-2019,Nanoclean global,Nanotechnology,Anti-Pollution,Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,"6,00,000",
14-02-2018,Oyo rooms,Hospitality,Budget Rooms,Gurugram,DiDi Chuxing,Equity,"10,00,00,000",
03-01-2019,Cardekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabets growth investment arm Capital G and Axis Bank",Series C,"11,00,00,000",
04-01-2019,Vyome therapeutics inc.,Health and Wellness,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,"2,20,00,000",
04-01-2019,Samunnati financial intermediation & services pvt. ltd,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,"50,00,000",
04-12-2018,Manch,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Funding,"7,00,000",
01-12-2018,Urbanclap technologies pvt. ltd,Services Platform,Home services marketplace,Delhi,Steadview Capital and Vy Capital.,Series D,"5,00,00,000",
02-12-2018,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Undisclosed,Pre-Series A,"8,00,000",
02-12-2018,Career anna,Online Education,"Video-based certification, trainings",Gurugram,Undisclosed,Pre-Series A,"5,72,000",
04-12-2018,Nagpur wholesale,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,"1,43,000",
06-12-2018,Shopkirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,"20,00,000",
06-12-2018,Buildsupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Undisclosed",Series A,"35,00,000",
01-11-2018,Godesi,Food and Beverage,Regional Flavours,Bengaluru,Lead Angels Network,Seed/ Angel Funding,"1,38,995",
03-11-2018,Veritas finance ltd.,NBFC,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UKs Development Finance Institution and P Surendra Pai",Series D,"2,77,99,000",
06-11-2018,Meesho,Ecommerce,Social Commerce,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",Series C,"5,00,00,000",
08-11-2018,Mobile premier league,Gaming,Mobile e-Sports,Bengaluru,Undisclosed,Series A,"5,00,000",
08-11-2018,A&r bon vivants,Food,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,"10,00,000",
12-11-2018,Blackbuck,Food Tech,POS For Online Ordering,"New York, Bengaluru",Tiger Global,Series A,"10,00,000",
12-11-2018,Milkbasket,Food,Micro-delivery grocery service,Delhi,Mayfield Fund,Series B,"13,00,000",
13-11-2018,Driveu,Transport,On-Demand Drivers,Bengaluru,Stevens Creek Ventures,Mezzanine,"10,00,000",
14-11-2018,Cleansecar,Services,Car Wash,Bengaluru,Venture Catalysts,Seed/ Angel Funding,"5,00,000",
19-11-2018,Automation anywhere,Automation,Robotics,California,SoftBank Vision Fund,Series B,"30,00,00,000",
20-11-2018,Healthifyme,Health and Wellness,Wellness Coach,Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),"60,00,000",
21-11-2018,Genius corner,Education,Personalized Learning,Noida,Individual investors,Seed Funding,"2,78,000",
22-11-2018,Aavishkaar-intellecap group,Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,"3,10,00,000",
22-11-2018,Skillbox,Social Network,Art,Gurugram,Individual investors,Seed Funding,Undisclosed,
23-11-2018,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,"34,00,000",
24-11-2018,Engineer.ai,Software,AI Platform,India/US,"Lakestar and Jungle Ventures, Softbanks DeepCore.",Series A,"2,95,00,000",
25-11-2018,Incred finance,Finance,SME Lending,India,"Paragon Partners, Undisclosed",Private Equity,"4,20,00,000",
25-11-2018,Roposo,Social Media,Video Sharing,Delhi,Bertelsmann India Investments,Series B,"17,00,000",
01-10-2018,Northmist,Fashion,Mens Wear,Delhi,Prashant Jaiswal,Seed/ Angel Funding,,
02-10-2018,Origo commodities india pvt. ltd,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed/ Angel Funding,"1,10,00,000",
04-10-2018,Grover zampa,Food,Wine,Mumbai,Ravi Viswanathan,Private Equity,"82,00,000",
05-10-2018,Droom,Automobile,New and Used Cars Platform,Gurugram,ZigExN,Series E,"30,00,000",
11-10-2018,Innov8,Real Estate,Co-Working,Delhi,Credence Family Office,Pre-Series A,"40,00,000",
12-10-2018,Blackbuck,Logistics Tech,Largest Trucking Platform,Bengaluru,Sequoia Capital India,Private Funding,"1,46,80,000",
12-10-2018,Letstransport,Logistics Tech,Book Trucks Online,Bengaluru,Fosun International,Series C,"1,20,00,000",
01-09-2018,Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,"3,50,00,000",
03-09-2018,Udaan,B2B Platform,Logistics and Shipping,Bengaluru,DST Global and Lightspeed Venture Partners global fund.,Private Equity,"22,50,00,000",
03-09-2018,Daily hunt,Consumer Internet,News and ebooks Mobile App,Bengaluru,Falcon Edge,Private Equity,"63,90,000",
04-09-2018,3hcare,Healthcare,Healthcare Service Provider,Delhi,Undisclosed,Seed / Angel Funding,"10,00,000",
04-09-2018,Happygoeasy,Consumer Internet,Online Travel Agecy,Gurugram,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital ",Private Equity,,
05-09-2018,Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,"15,72,00,000",
05-09-2018,Mad street den,Technology,Computer Vision And Artificial Intelligence (Ai) Platform,Chennai,KDDI,Private Equity,,
06-09-2018,Dream11,Consumer Internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,"10,00,00,000",
10-09-2018,Mamaearth,Healthcare,Online Marketplace For Mother and Babycare Products,Gurugram,Stellaris Ventures ,Private Equity,"40,00,000",
11-09-2018,Autogrid,Technology,AI-Based Energy Optimisation and Control Provider,Bengaluru,"CLP Holdings Group, Innogy, rstead, and Tenaska",Private Equity,"3,20,00,000",
11-09-2018,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt Funding,"55,00,000",
11-09-2018,Upwards,Fin-Tech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield ",Private Equity,"50,00,000",
12-09-2018,Kissht,Fin-Tech,Online lending Platform,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India, Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.",Private Equity,"3,00,00,000",
01-08-2018,Dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed/ Angel Funding,"4,00,000",
01-08-2018,Healthfin,Finance,Patient Financing Platform,Pune,"Axilor, Sprout Venture Partners ",Seed/ Angel Funding,,
02-08-2018,Samosa labs,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,"70,00,000",
03-08-2018,Ziffyhomes,Consumer Internet,Online Home Rental Marketplace,Gurugram,Y Combinator,Private Equity,"1,20,000",
07-08-2018,My omnamo,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,Undisclosed,Seed/ Angel Funding,"10,00,000",
07-08-2018,Shopx,Consumer Internet,Assisted E-commerce Platform,Bengaluru,Fung Strategic Holdings,Private Equity,"3,50,00,000",
07-08-2018,Makemytrip,Consumer Internet,Online Travel Aggregator,Gurugram,MakeMyTrip Limited,Private Equity,"1,00,00,000",
08-08-2018,Hansel io,Consumer Internet,Real-time Mobile App Management,Bengaluru,Vertex Ventures,Seed/ Angel Funding,"40,00,000",
08-08-2018,Metro bikes,Consumer Internet,Online Bike Rental Marketplace,Bengaluru,"Sequoia Capital India Advisors, Accels and G Raghunandan",Private Equity,"1,22,00,000",
08-08-2018,Phone pe,Consumer Internet,UPI Payments App,Bengaluru,Flipkart,Private Equity,"6,60,00,000",
09-08-2018,Quizizz,Ed-Tech,e-learning Platform,Bengaluru,"Nexus Venture Partners, Prime Venture Partners and Others",Seed/ Angel Funding,"30,00,000",
09-08-2018,Happy emi,Fin-Tech,Consumer Financing Platform,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Seed/ Angel Funding,"10,00,000",
13-08-2018,Inthree,Consumer Internet,Rural E-commerce Platform,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed/ Angel Funding,"40,00,000",
13-08-2018,Observe ai,Technology,AI Based Solutions Platform,Bengaluru,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,"80,00,000",
16-08-2018,Enakshi,Consumer Internet,AI Based Solutions Platform,Ahemadabad,Undisclosed,Seed/ Angel Funding,"1,14,811",
17-08-2018,Eazydiner,Consumer Internet,Online Restaurant Table Reservation Platform,Gurugram,Denlow Investment Trust and Beenext,Private Equity,"58,50,000",
20-08-2018,Finzy,Finance,Online Loan Matchmaking Platform,Bengaluru,Undisclosed,Seed / Angel Funding,"10,00,000",
20-08-2018,Rawpressery,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,Alteria Capital,Debt Funding,"48,00,000",
22-08-2018,Pi ventures,Technology,Applied Artificial Intelligence and IoT focusedPlatform,Bengaluru,CDC Group plc,Private Equity,"60,00,000",
22-08-2018,Revv,Consumer Internet,Online Indian Car Rental Platform,Gurugram,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity,"1,42,70,000",
26-08-2018,Zestmoney,Consumer Internet,Online Lending Platform,Bengaluru,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Equity,"1,34,00,000",
26-08-2018,Shubh loans,Fin-Tech,Customer Sourcing Platform,Bengaluru,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity,"42,00,000",
27-08-2018,Myupchar,Healthcare,Local Language Health Content App,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private Equity,"50,00,000",
28-08-2018,Narvar,IT,Post-Purchase Customer Engagement Platform,Bengaluru,Accel (formerly known as Accels),Private Equity,"30,00,000",
30-08-2018,True north,Finance,Private Equity Firm,Mumbai,Undisclosed,Private Equity,"60,00,00,000",
01-07-2018,Leena ai,Technology,HR Virtual Agent For Employees,Gurugram,Y Combinator,Seed/ Angel Funding,,
02-07-2018,Biryani by kilo,Consumer Internet,Online Food Delivery,Gurugram,Ajay Relan and Vinay Mittal,Seed/ Angel Funding,"10,00,000",
04-07-2018,Anchanto,IT,E-commerce Fulfilment Platform,Pune,MDI Ventures & Telkom Indonesia,Private Equity,"40,00,000",
05/07/2018,Loan tap,Consumer Internet,Online Lending Platform For Salaried Professionals,Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital",Private Equity,"62,50,000",
06-07-2018,Policybazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,Info Edge (India) Ltd and Temasek,Private Equity,"2,77,00,000",
09-07-2018,Zippserv,Consumer Internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bengaluru,Info Edge (India) Ltd,Seed/ Angel Funding,"4,40,000",
09-07-2018,Groww,Consumer Internet,Online Platform That Sells Direct Plans Of Mutual Funds,Bengaluru,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed/ Angel Funding,"11,00,000",
10-07-2018,Avenue growth,Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurugram,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik ",Seed/ Angel Funding,"4,37,000",
10-07-2018,Inicu,Healthcare,Med-tech Platform Providing Care For Newborns,Delhi,Venture Catalysts,Seed/ Angel Funding,,
10-07-2018,Kinara capital,Finance,Lending Platform For Micro and Small Enterprises,Bengaluru,ResponsAbility,Private Equity,"50,00,000",
10-07-2018,Shop 101,Consumer Internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",Private Equity,"50,00,000",
11-07-2018,Sambandh,Consumer Internet,Online Micro Lending Platform,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Private Equity,"25,00,000",
12-07-2018,19th mile,IT,Artificial intelligence-based sales acceleration software platform,Gurugram,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Seed/ Angel Funding,"1,80,000",
12-07-2018,5th vital,Healthcare,Home diagnostics services provider,Bengaluru,Brand Capital and Others,Seed/ Angel Funding,"5,00,000",
13-07-2018,Mengage,Healthcare,A Doctor-Patient Engagement Platform,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab .",Seed/ Angel Funding,"1,75,000",
