Date,Startup,Industry_Vertical,SubVertical,Location,Investor,Investment_Type,Amount(USD),Remarks
01-10-2015,Muvizz,,Movie-on-demand platform,Singapore,"Ashish Todi, Abhinav Patodia, Kumar Shwetabh",Seed Funding,"3,50,000",
01-10-2015,Abhibus,,us ticketing and fleet management platform,Hyderabad,Paytm (One97 communications),Private Equity,,Strategic Investment
01-10-2015,Cleartax,,Online Income Tax Filing platform,Delhi,Paytm (One97 communications),Private Equity,,
02-10-2015,Shopalyst,,Product discovery & recommendation platform,Bengaluru,Kalaari Capital,Private Equity,"20,00,000",Series A
03-10-2015,Chillr,,Mobile Payments App,Mumbai,Sequoia Capital,Private Equity,"60,00,000",Series A
05-10-2015,Nykaa,,Beauty & Wellness Products e-tailer,Mumbai,"Harsh Mariwala, Atul Nishar, Dalip Pathak, Michael Carlos",Private Equity,"95,00,000",Series B
05-10-2015,Voylla,,Fashion jewelry and accessories e-tailer,Jaipur,Peepul Capital,Private Equity,"1,50,00,000",Series B
05-10-2015,Indialends,,Online Consumer Lending platform,Delhi,"DSG consumer Partners, Paragon Partners",Private Equity,"10,00,000",Pre-Series A Bridge round
05-10-2015,Rock n shop,,Premium Apparel shopping portal,Delhi,High Networth Individuals (undisclosed),Seed Funding,"1,50,000",
06-10-2015,Docplexus,,Exclusive Platform for Doctors & Healthcare professionals,Pune,"Uniqorn ventures, ASP Consulting",Seed Funding,"7,00,000",
06-10-2015,Workindia,,Job Board,Mumbai,"Satyen Kothari, Keshav Sanghi, Riddhesh Gandhi ",Seed Funding,"5,00,000",Pre-Series A
06-10-2015,Sportzvillage,,Sports Management & Physical Education Business,Bengaluru,Gaja Capital Private Equity Fund,Private Equity,"1,00,00,000",Series B
06-10-2015,Sportybeans,,multi-sport program for preschoolers,Pune,YouWeCan Ventures,Seed Funding,,
06-10-2015,Burger singh,,QSR & Online delivery portal,Gurugram,"Ashvin Chadha, Avtar Monga, Udaan Angels, Dheeraj Jain",Seed Funding,"5,00,000",Bridge Round
06-10-2015,Welcome cure,,Online Homeopathy Clinic,Mumbai,Unnamed Media house and HNIs,Private Equity,"60,00,000",Pre-Series A
07-10-2015,Schoolguru,,E-Learning Service Provider,Mumbai,High Networth Individuals from India & USA,Private Equity,"30,00,000",Series A
07-10-2015,Naturally yours,,Organic Food etailer,Mumbai,Sanjay Mehta,Seed Funding,,
